DATAFLOW,LAST UPDATE,freq,unit,tra_meas,airline,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2010-12,19449,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-01,17292,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-02,17328,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-03,21006,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-04,19918,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-05,22352,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-06,27471,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-07,32268,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-08,31507,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-09,28680,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-10,22995,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-11,18432,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2011-12,20001,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-01,18492,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-02,17122,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-03,20345,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-04,27915,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-05,30810,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-06,33566,,
