waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
bat (Tajlandia);THB;1;0,1198;0,1188;0,1146;0,1125;0,1144;0,1136;0,1122;0,1131;0,1135;0,1120;0,1133;0,1143;
dolar amerykañski;USD;1;4,1057;4,0095;3,8769;3,7970;3,7691;3,7030;3,6384;3,6709;3,6315;3,6497;3,6685;3,6063;
dolar australijski;AUD;1;2,5567;2,5272;2,4399;2,3895;2,4252;2,4064;2,3808;2,3820;2,3935;2,3868;2,3858;2,3962;
dolar Hongkongu;HKD;1;0,5274;0,5152;0,4987;0,4891;0,4831;0,4718;0,4635;0,4689;0,4665;0,4694;0,4717;0,4634;
dolar kanadyjski;CAD;1;2,8533;2,8041;2,7005;2,7170;2,7179;2,7077;2,6596;2,6589;2,6252;2,6075;2,6099;2,6128;
dolar nowozelandzki;NZD;1;2,3103;2,2795;2,2166;2,2160;2,2362;2,2313;2,1842;2,1647;2,1357;2,1027;2,0755;2,0876;
dolar singapurski;SGD;1;3,0149;2,9776;2,8999;2,8707;2,9111;2,8855;2,8410;2,8538;2,8258;2,8171;2,8157;2,7935;
euro;EUR;1;4,2502;4,1767;4,1810;4,2680;4,2541;4,2652;4,2542;4,2647;4,2594;4,2498;4,2401;4,2251;
forint (Wêgry);HUF;100;1,0314;1,0348;1,0455;1,0486;1,0532;1,0606;1,0662;1,0752;1,0875;1,0896;1,1028;1,0957;
frank szwajcarski;CHF;1;4,5159;4,4348;4,3836;4,5556;4,5459;4,5491;4,5610;4,5457;4,5555;4,5766;4,5650;4,5297;
funt szterling;GBP;1;5,0690;5,0245;4,9993;4,9939;5,0362;5,0219;4,9171;4,9303;4,9006;4,8766;4,8169;4,8291;
hrywna (Ukraina);UAH;1;0,0975;0,0963;0,0935;0,0917;0,0907;0,0890;0,0871;0,0885;0,0879;0,0876;0,0871;0,0854;
jen (Japonia);JPY;100;2,6239;2,6381;2,5986;2,6353;2,6066;2,5641;2,4768;2,4838;2,4537;2,4142;2,3649;2,3131;
korona czeska;CZK;1;0,1689;0,1666;0,1672;0,1704;0,1707;0,1720;0,1728;0,1740;0,1750;0,1748;0,1749;0,1741;
korona duñska;DKK;1;0,5697;0,5599;0,5605;0,5717;0,5702;0,5718;0,5701;0,5714;0,5706;0,5691;0,5678;0,5656;
korona islandzka;ISK;100;2,9282;2,8525;2,8777;2,9456;2,9245;2,9740;2,9877;2,9815;2,9793;2,9907;2,8919;2,8520;
korona norweska;NOK;1;0,3618;0,3581;0,3619;0,3604;0,3663;0,3684;0,3585;0,3597;0,3649;0,3639;0,3612;0,3566;
korona szwedzka;SEK;1;0,3703;0,3709;0,3810;0,3890;0,3905;0,3877;0,3799;0,3821;0,3871;0,3870;0,3857;0,3880;
lej rumuñski;RON;1;0,8543;0,8392;0,8400;0,8574;0,8400;0,8450;0,8388;0,8419;0,8394;0,8353;0,8335;0,8300;
lew (Bu³garia);BGN;1;2,1731;2,1355;2,1377;2,1822;2,1750;2,1807;2,1752;2,1805;2,1778;2,1729;2,1680;2,1603;
lira turecka;TRY;1;0,1155;0,1107;0,1042;0,0993;0,0970;0,0937;0,0903;0,0898;0,0878;0,0872;0,0867;0,0844;
nowy izraelski szekel;ILS;1;1,1346;1,1240;1,0606;1,0280;1,0562;1,0626;1,0859;1,0805;1,0863;1,1101;1,1271;1,1226;
peso chilijskie;CLP;100;0,4103;0,4192;0,4151;0,3953;0,4004;0,3952;0,3826;0,3800;0,3784;0,3829;0,3920;0,3941;
peso filipiñskie;PHP;1;0,0703;0,0691;0,0676;0,0669;0,0678;0,0657;0,0640;0,0642;0,0634;0,0626;0,0623;0,0612;
peso meksykañskie;MXN;1;0,1996;0,1957;0,1916;0,1896;0,1938;0,1945;0,1948;0,1960;0,1963;0,1980;0,1990;0,1996;
rand (Republika Po³udniowej Afryki);ZAR;1;0,2192;0,2170;0,2123;0,2005;0,2080;0,2074;0,2050;0,2067;0,2081;0,2110;0,2128;0,2143;
real (Brazylia);BRL;1;0,6805;0,6951;0,6725;0,6581;0,6646;0,6675;0,6592;0,6733;0,6759;0,6776;0,6866;0,6603;
ringgit (Malezja);MYR;1;0,9192;0,9027;0,8740;0,8600;0,8831;0,8731;0,8588;0,8676;0,8621;0,8654;0,8828;0,8817;
rupia indonezyjska;IDR;10000;2,5289;2,4560;2,3559;2,2663;2,2971;2,2736;2,2361;2,2506;2,1988;2,2016;2,1991;2,1596;
rupia indyjska;INR;100;4,7617;4,6077;4,4796;4,4367;4,4216;4,3090;4,2249;4,1891;4,1115;4,1302;4,1257;4,0053;
won po³udniowokoreañski;KRW;100;0,2823;0,2776;0,2659;0,2637;0,2709;0,2713;0,2641;0,2639;0,2606;0,2564;0,2514;0,2450;
yuan renminbi (Chiny);CNY;1;0,5617;0,5502;0,5347;0,5201;0,5221;0,5157;0,5073;0,5116;0,5097;0,5122;0,5162;0,5119;
SDR (MFW);XDR;1;5,3447;5,2469;5,1500;5,1284;5,1027;5,0637;4,9844;5,0106;4,9805;4,9826;4,9856;4,9674;
