waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
bat (Tajlandia);THB;1;0,1137;0,1118;0,1103;0,1091;0,1083;0,1093;0,1088;0,1121;0,1157;0,1186;0,1185;0,1193;
dolar amerykañski;USD;1;4,0011;4,0083;3,9658;4,0106;3,9675;4,0127;3,9462;3,9020;3,8501;3,9573;4,0763;4,0787;
dolar australijski;AUD;1;2,6610;2,6184;2,5981;2,6122;2,6247;2,6653;2,6354;2,5937;2,6087;2,6573;2,6640;2,5829;
dolar Hongkongu;HKD;1;0,5119;0,5124;0,5070;0,5122;0,5079;0,5138;0,5053;0,5005;0,4941;0,5093;0,5240;0,5247;
dolar kanadyjski;CAD;1;2,9844;2,9734;2,9291;2,9347;2,9009;2,9277;2,8799;2,8529;2,8447;2,8788;2,9176;2,8639;
dolar nowozelandzki;NZD;1;2,4725;2,4574;2,4099;2,3910;2,4024;2,4613;2,3812;2,3698;2,3978;2,4089;2,4118;2,3430;
dolar singapurski;SGD;1;2,9966;2,9816;2,9565;2,9567;2,9346;2,9679;2,9314;2,9632;2,9716;3,0222;3,0519;3,0195;
euro;EUR;1;4,3652;4,3274;4,3074;4,3026;4,2848;4,3177;4,2811;4,2918;4,2782;4,3164;4,3339;4,2714;
forint (Wêgry);HUF;100;1,1426;1,1154;1,0907;1,0959;1,1059;1,0950;1,0905;1,0866;1,0834;1,0744;1,0591;1,0368;
frank szwajcarski;CHF;1;4,6621;4,5766;4,4621;4,4106;4,3599;4,4859;4,4231;4,5405;4,5467;4,5990;4,6340;4,5741;
funt szterling;GBP;1;5,0827;5,0645;5,0357;5,0247;5,0075;5,1000;5,0749;5,0437;5,0905;5,1676;5,1980;5,1535;
hrywna (Ukraina);UAH;1;0,1057;0,1055;0,1025;0,1018;0,0998;0,0991;0,0962;0,0947;0,0933;0,0959;0,0985;0,0976;
jen (Japonia);JPY;100;2,7391;2,6825;2,6473;2,6087;2,5435;2,5410;2,5006;2,6615;2,6912;2,6470;2,6560;2,6486;
korona czeska;CZK;1;0,1766;0,1715;0,1703;0,1702;0,1724;0,1742;0,1693;0,1704;0,1704;0,1706;0,1713;0,1699;
korona duñska;DKK;1;0,5854;0,5804;0,5777;0,5768;0,5743;0,5788;0,5738;0,5752;0,5735;0,5787;0,5811;0,5726;
korona islandzka;ISK;100;2,9212;2,9125;2,8896;2,8614;2,8551;2,8925;2,8658;2,8301;2,8105;2,8955;2,9540;2,9405;
korona norweska;NOK;1;0,3853;0,3800;0,3737;0,3682;0,3685;0,3783;0,3658;0,3640;0,3632;0,3662;0,3691;0,3635;
korona szwedzka;SEK;1;0,3871;0,3847;0,3807;0,3712;0,3681;0,3823;0,3712;0,3744;0,3768;0,3786;0,3742;0,3713;
lej rumuñski;RON;1;0,8774;0,8698;0,8665;0,8652;0,8612;0,8676;0,8609;0,8624;0,8600;0,8676;0,8709;0,8585;
lew (Bu³garia);BGN;1;2,2319;2,2125;2,2023;2,1999;2,1908;2,2076;2,1889;2,1943;2,1874;2,2069;2,2159;2,1839;
lira turecka;TRY;1;0,1331;0,1303;0,1240;0,1241;0,1231;0,1233;0,1199;0,1160;0,1131;0,1156;0,1184;0,1165;
nowy izraelski szekel;ILS;1;1,0781;1,0994;1,0937;1,0684;1,0700;1,0768;1,0728;1,0471;1,0331;1,0519;1,0962;1,1250;
peso chilijskie;CLP;100;0,4409;0,4163;0,4098;0,4188;0,4317;0,4329;0,4216;0,4193;0,4156;0,4229;0,4205;0,4150;
peso filipiñskie;PHP;1;0,0715;0,0716;0,0709;0,0704;0,0686;0,0684;0,0675;0,0684;0,0687;0,0689;0,0695;0,0698;
peso meksykañskie;MXN;1;0,2346;0,2346;0,2363;0,2386;0,2364;0,2213;0,2182;0,2043;0,1964;0,2013;0,2010;0,2014;
rand (Republika Po³udniowej Afryki);ZAR;1;0,2130;0,2110;0,2101;0,2124;0,2154;0,2180;0,2165;0,2162;0,2188;0,2253;0,2276;0,2239;
real (Brazylia);BRL;1;0,8152;0,8078;0,7965;0,7828;0,7717;0,7471;0,7125;0,7009;0,6948;0,7060;0,7040;0,6692;
ringgit (Malezja);MYR;1;0,8543;0,8411;0,8407;0,8415;0,8406;0,8520;0,8434;0,8836;0,9043;0,9213;0,9198;0,9142;
rupia indonezyjska;IDR;10000;2,5623;2,5628;2,5253;2,5007;2,4699;2,4565;2,4302;2,4774;2,5147;2,5437;2,5789;2,5427;
rupia indyjska;INR;100;4,8142;4,8305;4,7746;4,8091;4,7585;4,8073;4,7206;4,6520;4,5941;4,7094;4,8319;4,7994;
won po³udniowokoreañski;KRW;100;0,3020;0,3010;0,2975;0,2929;0,2904;0,2907;0,2854;0,2885;0,2894;0,2907;0,2925;0,2833;
yuan renminbi (Chiny);CNY;1;0,5581;0,5574;0,5505;0,5541;0,5486;0,5530;0,5434;0,5453;0,5444;0,5572;0,5659;0,5600;
SDR (MFW);XDR;1;5,3345;5,3177;5,2682;5,2891;5,2449;5,2931;5,2271;5,2271;5,1993;5,2870;5,3703;5,3453;
