DATAFLOW,LAST UPDATE,freq,accomunit,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,10119707,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,10246570,e,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019,10391147,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020,10069176,e,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,10166823,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022,10534942,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,10807751,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,10919481,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,1990,929533,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,1991,972292,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,1992,1003199,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,1993,1009241,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,1994,1053355,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,1995,1031684,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,1996,1025208,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,1997,972721,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,1998,979325,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,1999,1299021,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,2000,1315697,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,2001,1333441,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,Spain,2002,1393930,,
