Model,RMSE,MAE,MAPE
Naive Seasonal,167403.63090596333,149397.66666666666,9.149469577852454
Holt-Winters,92650.50581466003,64078.190151269744,3.8593916256483713
"SARIMA(1,1,1)(1,1,1)[12]",128826.00903033312,106084.46042717448,6.018302964461516
"SARIMAX(1,1,1)(1,1,1)[12]",99867.18526028561,88110.34730146891,5.254321388133346
SARIMA (pre-COVID only),341238.52046808216,330729.23123716464,21.314669630721784
SARIMA (pre-COVID + bias correction),125869.94406519746,96624.78827774402,5.96056456164988
